OBJECTID,jmeno,Y,X,okres,kraj,plocha_bytu_m2,poloha_bytu,velikostni_kategorie_m2,technologie_vystavby,stari,technologicky_stav,najemne_min_m2_mes,najemne_max_m2_mes,najemne_byt_min_mes,najemne_byt_max_mesic,Count_,Sum_CSSD,Sum_SSO,Sum_CPS,Sum_TOP09,Sum_HLAVU_VZHURU,Sum_ODS,Sum_RDS,Sum_KAN,Sum_PHZ,Sum_SSCR,Sum_KDU_CSL,Sum_CIBULKA,Sum_SUVERENITA,Sum_AKTIV_NO,Sum_SPOZ,Sum_OB11,Sum_USVIT,Sum_DSSS,Sum_blank,Sum_ANO,Sum_KSCM,Sum_LEV21,Sum_SZ,Sum_KČ,Sum_celkem,SHAPE_Length,SHAPE_Area
1,"Oblast 1 (katastr. území: Hradčany, Josefov, Malá Strana, Nové Město, Staré Město)",50.085127999999997,14.412017000000001,Praha,Hlavní město Praha,80.000000000000000,bez rozlišení,velké byty (větší než 70 m2),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,171.699999999999990,239.599999999999990,13736.000000000000000,19168.000000000000000,38,2239.000000000000000,799.000000000000000,800.000000000000000,6003.000000000000000,99.000000000000000,2838.000000000000000,0.000000000000000,0.000000000000000,166.000000000000000,22.000000000000000,1543.000000000000000,38.000000000000000,17.000000000000000,7.000000000000000,163.000000000000000,12.000000000000000,507.000000000000000,52.000000000000000,0.000000000000000,2480.000000000000000,1073.000000000000000,6.000000000000000,1774.000000000000000,65.000000000000000,20691.000000000000000,16026.392805242864000,7603794.301216418900000
2,"Oblast 2 (katastr. území: Vinohrady, Vyšehrad)",50.070020999999997,14.427943000000001,Praha,Hlavní město Praha,80.000000000000000,bez rozlišení,velké byty (větší než 70 m2),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,142.900000000000010,154.599999999999990,11432.000000000000000,12368.000000000000000,46,2798.000000000000000,932.000000000000000,876.000000000000000,6145.000000000000000,83.000000000000000,3264.000000000000000,0.000000000000000,0.000000000000000,151.000000000000000,33.000000000000000,1372.000000000000000,62.000000000000000,25.000000000000000,4.000000000000000,175.000000000000000,14.000000000000000,547.000000000000000,85.000000000000000,0.000000000000000,3090.000000000000000,1367.000000000000000,10.000000000000000,2091.000000000000000,75.000000000000000,23185.000000000000000,17675.222319111752000,4146894.761798217900000
3,"Oblast 3 (katastr. území: Holešovice, Karlín, Žižkov)",50.094048999999998,14.453370000000000,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,140.400000000000010,149.099999999999990,9126.000000000000000,9691.500000000000000,85,5886.000000000000000,1752.000000000000000,1877.000000000000000,10590.000000000000000,207.000000000000000,5290.000000000000000,0.000000000000000,0.000000000000000,321.000000000000000,51.000000000000000,2446.000000000000000,90.000000000000000,47.000000000000000,12.000000000000000,381.000000000000000,35.000000000000000,1303.000000000000000,233.000000000000000,0.000000000000000,6166.000000000000000,3472.000000000000000,36.000000000000000,3787.000000000000000,103.000000000000000,44050.000000000000000,22786.589370165671000,12280829.485843299000000
4,"Oblast 4 (katastr. území: Braník, Hodkovičky, Krč, Lhotka, Michle)",50.034754000000000,14.433500000000000,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,129.500000000000000,140.599999999999990,8417.500000000000000,9139.000000000000000,75,5639.000000000000000,1344.000000000000000,1293.000000000000000,8409.000000000000000,211.000000000000000,4584.000000000000000,0.000000000000000,0.000000000000000,285.000000000000000,47.000000000000000,2136.000000000000000,62.000000000000000,41.000000000000000,8.000000000000000,356.000000000000000,22.000000000000000,1169.000000000000000,142.000000000000000,0.000000000000000,6071.000000000000000,3134.000000000000000,31.000000000000000,2146.000000000000000,66.000000000000000,37174.000000000000000,30280.924570530558000,18239622.232823595000000
5,"Oblast 5 (katastr. území: Hlubočepy, Jinonice, Košíře, Motol, Radlice)",50.058602000000000,14.370882999999999,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,132.400000000000010,141.000000000000000,8606.000000000000000,9165.000000000000000,41,2855.000000000000000,949.000000000000000,841.000000000000000,5639.000000000000000,126.000000000000000,2609.000000000000000,0.000000000000000,0.000000000000000,183.000000000000000,19.000000000000000,1307.000000000000000,45.000000000000000,17.000000000000000,10.000000000000000,201.000000000000000,20.000000000000000,648.000000000000000,92.000000000000000,0.000000000000000,3536.000000000000000,1573.000000000000000,8.000000000000000,1578.000000000000000,39.000000000000000,22275.000000000000000,28945.726400541567000,21068891.556134868000000
6,"Oblast 6 (katastr. území: Břevnov, Bubeneč, Dejvice, Střešovice, Troja)",50.100841000000003,14.388620000000000,Praha,Hlavní město Praha,80.000000000000000,bez rozlišení,velké byty (větší než 70 m2),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,139.599999999999990,148.199999999999990,11168.000000000000000,11856.000000000000000,91,6096.000000000000000,1633.000000000000000,1541.000000000000000,12295.000000000000000,145.000000000000000,5933.000000000000000,0.000000000000000,0.000000000000000,345.000000000000000,46.000000000000000,3218.000000000000000,66.000000000000000,32.000000000000000,12.000000000000000,391.000000000000000,19.000000000000000,1163.000000000000000,121.000000000000000,0.000000000000000,6094.000000000000000,3699.000000000000000,26.000000000000000,3886.000000000000000,98.000000000000000,46840.000000000000000,40615.192941276619000,24030596.745549735000000
7,"Oblast 7 (katastr. území: Ďáblice, Kbely, Letňany)",50.138306999999998,14.516401999999999,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,92.900000000000006,123.000000000000000,6038.500000000000000,7995.000000000000000,33,3517.000000000000000,768.000000000000000,790.000000000000000,4136.000000000000000,73.000000000000000,2261.000000000000000,0.000000000000000,0.000000000000000,155.000000000000000,23.000000000000000,898.000000000000000,56.000000000000000,52.000000000000000,11.000000000000000,210.000000000000000,20.000000000000000,825.000000000000000,129.000000000000000,0.000000000000000,3911.000000000000000,2095.000000000000000,25.000000000000000,1054.000000000000000,52.000000000000000,21041.000000000000000,31880.539007437652000,18976266.514047947000000
8,"Oblast 8 (katastr. území: Bohnice, Čimice, Dolní Chabry, Kobylisy, Lysolaje, Sedlec, Střížkov, Suchdol)",50.134011999999998,14.421663000000001,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,112.400000000000010,134.199999999999990,7306.000000000000000,8723.000000000000000,76,6338.000000000000000,1320.000000000000000,1213.000000000000000,7820.000000000000000,136.000000000000000,4401.000000000000000,0.000000000000000,0.000000000000000,296.000000000000000,45.000000000000000,2055.000000000000000,81.000000000000000,73.000000000000000,13.000000000000000,399.000000000000000,34.000000000000000,1353.000000000000000,170.000000000000000,0.000000000000000,6828.000000000000000,4427.000000000000000,20.000000000000000,2210.000000000000000,76.000000000000000,39274.000000000000000,39886.899724285962000,25716107.605895810000000
9,"Oblast 9 (katastr. území: Hloubětín, Libeň, Prosek, Vysočany)",50.111707000000003,14.501934000000000,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,124.500000000000000,134.699999999999990,8092.500000000000000,8755.500000000000000,82,6210.000000000000000,1491.000000000000000,1491.000000000000000,9373.000000000000000,198.000000000000000,5036.000000000000000,0.000000000000000,0.000000000000000,349.000000000000000,59.000000000000000,2041.000000000000000,102.000000000000000,48.000000000000000,15.000000000000000,448.000000000000000,17.000000000000000,1265.000000000000000,163.000000000000000,0.000000000000000,7013.000000000000000,3574.000000000000000,33.000000000000000,2495.000000000000000,72.000000000000000,41476.000000000000000,33095.126184651534000,20556996.818807967000000
10,"Oblast 10 (katastr. území: Hrdlořezy, Malešice, Strašnice, Záběhlice)",50.076681999999998,14.500908000000001,Praha,Hlavní město Praha,65.000000000000000,bez rozlišení,středně velké byty (40 až 70 m2 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,118.900000000000010,139.199999999999990,7728.500000000000000,9048.000000000000000,78,6462.000000000000000,1439.000000000000000,1223.000000000000000,9468.000000000000000,224.000000000000000,5218.000000000000000,0.000000000000000,0.000000000000000,279.000000000000000,44.000000000000000,2174.000000000000000,90.000000000000000,41.000000000000000,8.000000000000000,419.000000000000000,20.000000000000000,1299.000000000000000,162.000000000000000,0.000000000000000,6874.000000000000000,3458.000000000000000,25.000000000000000,2363.000000000000000,69.000000000000000,41339.000000000000000,32184.786536537678000,17635811.359364182000000
